"radioMode:vector manet.host[0].wlan[0].radio ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
7.748563944517,3
7.748813944517,2
7.749129944517,3
7.749379944517,2
7.749749944517,3
7.749999944517,2
7.751242944517,3
7.751492944517,2
7.751551547382,3
7.751709547382,2
7.751799547382,3
7.751957547382,2
7.752151150215,3
7.752321150215,2
7.752609150215,3
7.752779150215,2
7.753274150215,3
7.753444150215,2
7.754137150215,3
7.754307150215,2
7.755225150215,3
7.755395150215,2
7.756309150102,3
7.756479150102,2
7.762337423988,3
7.762507423988,2
7.762651423988,3
7.762901423988,2
7.762960026134,3
7.763118026134,2
7.763379026134,3
7.763537026134,2
7.763780026134,3
7.763938026134,2
7.76502902609,3
7.76518702609,2
7.766027026064,3
7.766185026064,2
7.770537069552,3
7.770695069552,2
7.781869390189,3
7.782027390189,2
7.782207390189,3
7.782457390189,2
7.782515991105,3
7.782673991105,2
7.782826991105,3
7.782984991105,2
7.783380991105,3
7.783538991105,2
7.783970861541,3
7.784220861541,2
7.784662861541,3
7.784912861541,2
7.785489861541,3
7.785739861541,2
7.78579846225,3
7.78595646225,2
7.786096062943,3
7.786346062943,2
7.786761062943,3
7.787011062943,2
7.787651062943,3
7.787901062943,2
7.787959663517,3
7.788117663517,2
7.788275264074,3
7.788445264074,2
7.788634264074,3
7.788804264074,2
7.788979864588,3
7.789229864588,2
7.789734864588,3
7.789984864588,2
7.790624864588,3
7.790874864588,2
7.791217864588,3
7.791467864588,2
7.793902464986,3
7.794152464986,2
7.796133464986,3
7.796383464986,2
7.805028064968,3
7.805278064968,2
7.805648064968,3
7.805806064968,2
7.806076064968,3
7.806234064968,2
7.806414064968,3
7.806572064968,2
7.807058064968,3
7.807216064968,2
7.809448064968,3
7.809606064968,2
7.815065795049,3
7.815223795049,2
7.818598795049,3
7.818756795049,2
7.819870530946,3
7.820120530946,2
7.827707530876,3
7.827957530876,2
7.82801612894,3
7.82817412894,2
7.828367726988,3
7.828617726988,2
7.828676325011,3
7.828834325011,2
7.829005325011,3
7.829163325011,2
7.829257922997,3
7.829507922997,2
7.829949922997,3
7.830199922997,2
7.830722922997,3
7.830972922997,2
7.831031520873,3
7.831189520873,2
7.831365118732,3
7.831535118732,2
7.831850118732,3
7.832020118732,2
7.832263118732,3
7.832433118732,2
7.832802118732,3
7.832972118732,2
7.833629118732,3
7.833799118732,2
7.833956716429,3
7.834206716429,2
7.834265314103,3
7.834423314103,2
7.834540314103,3
7.834698314103,2
7.835328314103,3
7.835486314103,2
7.836584314103,3
7.836742314103,2
7.837012314103,3
7.837170314103,2
7.841319314103,3
7.841477314103,2
7.846751314103,3
7.846909314103,2
7.847008314103,3
7.847258314103,2
7.847316910963,3
7.847474910963,2
7.847690910963,3
7.847848910963,2
7.848307910963,3
7.848465910963,2
7.848744910963,3
7.848902910963,2
7.851274764121,3
7.851432764121,2
7.852845764121,3
7.853003764121,2
7.85320636062,3
7.85345636062,2
7.85378136062,3
7.85403136062,2
7.85456336062,3
7.85481336062,2
7.85534536062,3
7.85559536062,2
7.85808036062,3
7.85833036062,2
7.863129956792,3
7.863379956792,2
7.867181209897,3
7.867431209897,2
7.867489805501,3
7.867647805501,2
7.867719805501,3
7.867877805501,2
7.868255805501,3
7.868413805501,2
7.869277805501,3
7.869435805501,2
7.870965805501,3
7.871123805501,2
7.874841400867,3
7.874999400867,2
7.878719995951,3
7.878877995951,2
7.879021995951,3
7.879271995951,2
7.879758995951,3
7.880008995951,2
7.880801995951,3
7.881051995951,2
7.882330995951,3
7.882580995951,2
7.882896995951,3
7.883146995951,2
7.885280995951,3
7.885530995951,2
7.886499590495,3
7.886749590495,2
7.893572590495,3
7.893730590495,2
7.893861184464,3
7.894031184464,2
7.894355184464,3
7.894525184464,2
7.894655778384,3
7.894905778384,2
7.895221778384,3
7.895471778384,2
7.896102778384,3
7.896352778384,2
7.897460778384,3
7.897710778384,2
7.899250778384,3
7.899500778384,2
7.901481778384,3
7.901731778384,2
7.905809778384,3
7.906059778384,2
7.906339778384,3
7.906497778384,2
7.906803778384,3
7.906961778384,2
7.907267778384,3
7.907425778384,2
7.907538371505,3
7.907788371505,2
7.908167371505,3
7.908417371505,2
7.908475964567,3
7.908633964567,2
7.908822964567,3
7.908980964567,2
7.909412964567,3
7.909570964567,2
7.909804964567,3
7.909962964567,2
7.910871964567,3
7.911029964567,2
7.914748557499,3
7.914906557499,2
7.915091150158,3
7.915341150158,2
7.915399742792,3
7.915557742792,2
7.915652335411,3
7.915902335411,2
7.915960928011,3
7.916118928011,2
7.916276520595,3
7.916446520595,2
7.916518520595,3
7.916688520595,2
7.917003520595,3
7.917173520595,2
7.918271520595,3
7.918441520595,2
7.919926520595,3
7.920096520595,2
7.922337355339,3
7.922507355339,2
7.923164355339,3
7.923334355339,2
7.923536947509,3
7.923582947509,2
7.923709947509,3
7.923759947509,2
7.923850947509,3
7.924100947509,2
7.924551947509,3
7.924801947509,2
7.925423947509,3
7.925673947509,2
7.926052947509,3
7.926302947509,2
7.926361539467,3
7.926519539467,2
7.926623131408,3
7.926873131408,2
7.927360131408,3
7.927610131408,2
7.928792541601,3
7.929042541601,2
7.930427541562,3
7.930677541562,2
7.93073613325,3
7.93089413325,2
7.93106513325,3
7.93122313325,2
7.931834133225,3
7.931992133225,2
7.932145133225,3
7.932303133225,2
7.933329133225,3
7.933487133225,2
7.937348133225,3
7.937506133225,2
7.93762772449,3
7.93787772449,2
7.93821172449,3
7.93846172449,2
7.93893972449,3
7.93918972449,2
7.93961372449,3
7.93986372449,2
7.941842963094,3
7.942092963094,2
7.947981760064,3
7.948231760064,2
7.94829035067,3
7.94844835067,2
7.94862835067,3
7.94878635067,2
7.949366941245,3
7.949524941245,2
7.950280941245,3
7.950438941245,2
7.950924941245,3
7.951082941245,2
7.954214941245,3
7.954372941245,2
7.96305538153,3
7.96321338153,2
7.96334838153,3
7.96359838153,2
7.96399538153,3
7.96424538153,2
7.96458838153,3
7.96483838153,2
7.964896971116,3
7.965054971116,2
7.965270971116,3
7.965428971116,2
7.965608971116,3
7.965766971116,2
7.966719560654,3
7.966877560654,2
7.968298963211,3
7.968456963211,2
